category	RR	pvalue	MM	SSC	Gene	Lower	Upper	MM	SSC
All	1.015	0.36750219	MM	SSC	All	0.946314210007404	Inf	719	664
Nonsynonymous	1.146	0.06068071	MM	SSC	All	0.991864762164627	Inf	187	153
Missense	1.051	0.3108332	MM	SSC	All	0.899748854658688	Inf	155	138
LGD	2.095	9.07e-06	MM	SSC	All	1.55232208946951	Inf	65	29
DMis	1.517	0.03400915	MM	SSC	All	1.03904139279005	Inf	34	21
DMisMC2	1.124	0.17644896	MM	SSC	All	0.919095701303745	Inf	97	81
DamagingS	1.864	1.84e-06	MM	SSC	All	1.47922093198684	Inf	99	50
DamagingMC2	1.393	0.00034555	MM	SSC	All	1.1826688880035	Inf	162	109
OtherMissense	0.992	0.5510505	MM	SSC	All	0.784862516565366	Inf	68	64
Synonymous	1.018	0.4740654	MM	SSC	All	0.807887116097002	Inf	70	65
All	1.195	0.02	MM	SSC	Constrained	1.03589116482041	Inf	195	153
Nonsynonymous	1.917	0	MM	SSC	Constrained	1.40389935236921	Inf	57	28
Missense	1.85	0.001	MM	SSC	Constrained	1.30725875914641	Inf	45	23
LGD	1.813	0.039	MM	SSC	Constrained	1.03493358285771	Inf	18	9
DMis	7.034	0.002	MM	SSC	Constrained	1.93723373242244	Inf	9	1
DMisMC2	2.099	0.003	MM	SSC	Constrained	1.33040788642159	Inf	29	13
DamagingS	2.579	0	MM	SSC	Constrained	1.5535468217797	Inf	27	10
DamagingMC2	2.096	0	MM	SSC	Constrained	1.47038326691443	Inf	47	21
OtherMissense	1.511	0.031	MM	SSC	Constrained	1.04613241211759	Inf	36	22
Synonymous	1.068	0.431	MM	SSC	Constrained	0.715538720638915	Inf	25	22
