cohort	category	mean	lower	upper	mean_diff	mean_diff_lower	mean_diff_upper	Gene
MM	All	1.27395322575364	1.18086404770263	1.36704240380464	NA	NA	NA	All genes
SSC	All	1.25450213838112	1.15469614261994	1.3543081341423	NA	NA	NA	All genes
MM	Nonsynonymous	0.331334149118123	0.284677391666929	0.377990906569317	NA	NA	NA	All genes
SSC	Nonsynonymous	0.28906449875348	0.244420394339993	0.333708603166968	NA	NA	NA	All genes
MM	Missense	0.274635257290423	0.231742291884213	0.317528222696633	NA	NA	NA	All genes
SSC	Missense	0.260724842012943	0.218129148106758	0.303320535919128	NA	NA	NA	All genes
MM	LGD	0.115169624025016	0.0865689793513251	0.143770268698707	0.0603796209933105	0.0249566763471755	0.0958025656394456	All genes
SSC	LGD	0.0547900030317054	0.0338462364518557	0.0757337696115552	0.0603796209933105	0.0249566763471755	0.0958025656394456	All genes
MM	DMisL	0.15415011215656	0.122788189363541	0.185512034949579	NA	NA	NA	All genes
SSC	DMisL	0.139808973253317	0.108657545247894	0.170960401258741	NA	NA	NA	All genes
MM	DMis	0.0602425725669314	0.039798740838269	0.0806864042955939	NA	NA	NA	All genes
SSC	DMis	0.0396755194367522	0.0229146241248542	0.0564364147486503	NA	NA	NA	All genes
MM	DMisL2	0.152378271786944	0.1211665562816	0.183589987292289	NA	NA	NA	All genes
SSC	DMisL2	0.132251731455841	0.101817149212704	0.162686313698977	NA	NA	NA	All genes
MM	DMisM	0.184271398440026	0.149818440035769	0.218724356844282	NA	NA	NA	All genes
SSC	DMisM	0.170037940443224	0.135454399760164	0.204621481126283	NA	NA	NA	All genes
MM	DMisMC	0.132888027721172	0.103828027950745	0.1619480274916	NA	NA	NA	All genes
SSC	DMisMC	0.11146931651278	0.0831546932630975	0.139783939762463	NA	NA	NA	All genes
MM	DMisMC2	0.171868515852716	0.138701340551076	0.205035691154356	NA	NA	NA	All genes
SSC	DMisMC2	0.153034146398901	0.119848108438141	0.186220184359662	NA	NA	NA	All genes
MM	DamagingL	0.269319736181576	0.226967757420913	0.311671714942239	0.0747207598965531	0.017680361675465	0.131761158117641	All genes
SSC	DamagingL	0.194598976285023	0.156321687803661	0.232876264766385	0.0747207598965531	0.017680361675465	0.131761158117641	All genes
MM	DamagingS	0.175412196591947	0.141256785331871	0.209567607852023	0.0809466741234898	0.0374997132181427	0.124393635028837	All genes
SSC	DamagingS	0.0944655224684577	0.0675592838068142	0.121371761130101	0.0809466741234898	0.0374997132181427	0.124393635028837	All genes
MM	DamagingL2	0.26754789581196	0.225282887332333	0.309812904291588	0.080506161324414	0.0238792822303671	0.137133040418461	All genes
SSC	DamagingL2	0.187041734487546	0.149287027362886	0.224796441612206	0.080506161324414	0.0238792822303671	0.137133040418461	All genes
MM	DamagingM	0.299441022465042	0.255141488157151	0.343740556772932	0.0765023894394815	0.0163323040955573	0.136672474783406	All genes
SSC	DamagingM	0.22293863302556	0.182148507262865	0.263728758788255	0.0765023894394815	0.0163323040955573	0.136672474783406	All genes
MM	DamagingMC	0.248057651746188	0.20828111335987	0.287834190132507	0.0817983322017028	0.0285486462435022	0.135048018159903	All genes
SSC	DamagingMC	0.166259319544485	0.13079237519488	0.201726263894091	0.0817983322017028	0.0285486462435022	0.135048018159903	All genes
MM	DamagingMC2	0.287038139877732	0.243566506737523	0.330509773017942	0.0811033008964945	0.0222567442572848	0.139949857535704	All genes
SSC	DamagingMC2	0.205934838981238	0.166201768499366	0.245667909463109	0.0811033008964945	0.0222567442572848	0.139949857535704	All genes
MM	OtherMissense	0.120485145133863	0.0913633857991216	0.149606904468604	NA	NA	NA	All genes
SSC	OtherMissense	0.120915868759626	0.0906832868003033	0.151148450718948	NA	NA	NA	All genes
MM	Synonymous	0.124028825873094	0.0933587292725323	0.154698922473656	NA	NA	NA	All genes
SSC	Synonymous	0.122805179208995	0.0933056386081302	0.15230471980986	NA	NA	NA	All genes
MM	All	0.345508872075048	0.297063589527984	0.393954154622112	NA	NA	NA	Constrained genes
SSC	All	0.28906449875348	0.242016332535192	0.336112664971769	NA	NA	NA	Constrained genes
MM	Nonsynonymous	0.100994901068091	0.0757066821042763	0.126283120031906	0.0480942084857547	0.0163324233344647	0.0798559936370446	Constrained genes
SSC	Nonsynonymous	0.0529006925823363	0.0336434749253685	0.0721579102393041	0.0480942084857547	0.0163324233344647	0.0798559936370446	Constrained genes
MM	Missense	0.0797328166327034	0.0570758765125529	0.102389756752854	0.0362786762972129	0.00766228506990043	0.0648950675245253	Constrained genes
SSC	Missense	0.0434541403354905	0.0259382252709438	0.0609700554000372	0.0362786762972129	0.00766228506990043	0.0648950675245253	Constrained genes
MM	LGD	0.0318931266530814	0.0164922218575633	0.0472940314485994	NA	NA	NA	Constrained genes
SSC	LGD	0.0170037940443224	0.00475606226524871	0.029251525823396	NA	NA	NA	Constrained genes
MM	DMisL	0.047839689979622	0.0300737654448255	0.0656056145144185	0.0270572750365613	0.00551159951987933	0.0486029505532434	Constrained genes
SSC	DMisL	0.0207824149430607	0.00856579646657493	0.0329990334195464	0.0270572750365613	0.00551159951987933	0.0486029505532434	Constrained genes
