Set	Phallodin Intensity	Type
Set 1	0.984867599	Vector
Set 1	0.943210338	Vector
Set 1	1.088113859	Vector
Set 1	0.892187547	Vector
Set 1	0.899731164	Vector
Set 1	0.808598171	Vector
Set 1	0.889166965	Vector
Set 1	0.78420327	Vector
Set 1	0.639984875	Vector
Set 1	0.765804927	Vector
Set 1	0.858692325	Vector
Set 1	1.002853258	Vector
Set 1	1.203558976	Vector
Set 1	1.000103512	Vector
Set 1	1.224111949	Vector
Set 1	1.122709702	Vector
Set 1	1.220924606	Vector
Set 1	1.168890803	Vector
Set 1	0.862497687	Vector
Set 1	0.842767267	Vector
Set 1	0.855077432	Vector
Set 1	1.091959806	Vector
Set 1	1.327333697	Vector
Set 1	1.410657461	Vector
Set 1	1.111992806	Vector
Set 1	1.495913641	WT Tiam1
Set 1	1.782651881	WT Tiam1
Set 1	1.785105074	WT Tiam1
Set 1	2.073338938	WT Tiam1
Set 1	0.280893725	WT Tiam1
Set 1	2.071348658	WT Tiam1
Set 1	2.972371566	WT Tiam1
Set 1	2.25136719	WT Tiam1
Set 1	1.854482809	WT Tiam1
Set 1	0.22088152	WT Tiam1
Set 1	0.224739924	WT Tiam1
Set 1	0.564630672	WT Tiam1
Set 1	1.884115609	WT Tiam1
Set 1	4.191618367	WT Tiam1
Set 1	1.509119493	WT Tiam1
Set 1	1.166208163	WT Tiam1
Set 1	1.472237619	WT Tiam1
Set 1	4.211164345	WT Tiam1
Set 1	0.492756346	H1149P Tiam1
Set 1	0.532191468	H1149P Tiam1
Set 1	0.51403061	H1149P Tiam1
Set 1	0.702961806	H1149P Tiam1
Set 1	0.557176663	H1149P Tiam1
Set 1	0.738772793	H1149P Tiam1
Set 1	1.231238865	H1149P Tiam1
Set 1	2.172821627	H1149P Tiam1
Set 1	0.200553172	H1149P Tiam1
Set 1	0.893522035	H1149P Tiam1
Set 1	1.242659371	H1149P Tiam1
Set 1	1.233254863	H1149P Tiam1
Set 1	0.995105107	H1149P Tiam1
Set 1	0.484833398	H1149P Tiam1
Set 1	0.536520821	H1149P Tiam1
Set 1	0.239291515	H1149P Tiam1
Set 1	0.426664402	H1149P Tiam1
Set 1	0.481691462	H1149P Tiam1
Set 1	0.320719429	H1149P Tiam1
Set 1	0.333693021	H1149P Tiam1
Set 1	0.183790693	H1149P Tiam1
Set 1	1.737481793	H1149P Tiam1
Set 1	0.661131355	H1149P Tiam1
Set 1	0.401852398	H1149P Tiam1
Set 2	0.833451776	Vector
Set 2	0.583796528	Vector
Set 2	0.507607714	Vector
Set 2	0.546055034	Vector
Set 2	0.88477124	Vector
Set 2	0.769068187	Vector
Set 2	1.481770198	Vector
Set 2	0.82980178	Vector
Set 2	0.713327795	Vector
Set 2	5.002287972	Vector
Set 2	0.377476795	Vector
Set 2	0.372196789	Vector
Set 2	0.574346004	Vector
Set 2	0.390939576	Vector
Set 2	0.452796014	Vector
Set 2	1.400422244	Vector
Set 2	0.205559572	Vector
Set 2	1.079661197	Vector
Set 2	0.350818506	Vector
Set 2	0.793475444	Vector
Set 2	2.069462871	Vector
Set 2	2.885119495	Vector
Set 2	0.553565704	Vector
Set 2	0.811589198	Vector
Set 2	0.530632367	Vector
Set 2	0.726644502	WT Tiam1
Set 2	0.547386387	WT Tiam1
Set 2	0.94382641	WT Tiam1
Set 2	0.537018691	WT Tiam1
Set 2	0.758074629	WT Tiam1
Set 2	1.285437871	WT Tiam1
Set 2	0.380877214	WT Tiam1
Set 2	0.629133164	WT Tiam1
Set 2	1.166661771	WT Tiam1
Set 2	6.63923848	WT Tiam1
Set 2	3.1750302	WT Tiam1
Set 2	0.086588356	WT Tiam1
Set 2	0.812396357	WT Tiam1
Set 2	5.540530585	WT Tiam1
Set 2	0.872365529	WT Tiam1
Set 2	1.396726673	WT Tiam1
Set 2	0.555789857	WT Tiam1
Set 2	0.598921872	WT Tiam1
Set 2	0.911305658	WT Tiam1
Set 2	0.466576316	WT Tiam1
Set 2	0.04738776	H1149P Tiam1
Set 2	0.212496467	H1149P Tiam1
Set 2	0.144842672	H1149P Tiam1
Set 2	0.565680771	H1149P Tiam1
Set 2	0.572169596	H1149P Tiam1
Set 2	0.457268694	H1149P Tiam1
Set 2	0.66598503	H1149P Tiam1
Set 2	0.170198822	H1149P Tiam1
Set 2	0.129304483	H1149P Tiam1
Set 2	0.631782516	H1149P Tiam1
Set 2	0.264101232	H1149P Tiam1
Set 2	0.054397942	H1149P Tiam1
Set 2	0.829999438	H1149P Tiam1
Set 2	0.50487606	H1149P Tiam1
Set 2	0.085160305	H1149P Tiam1
Set 2	0.812662461	H1149P Tiam1
Set 2	0.569431599	H1149P Tiam1
Set 2	0.333428275	H1149P Tiam1
Set 2	0.557381138	H1149P Tiam1
Set 2	0.397189342	H1149P Tiam1
Set 3	0.730380163	Vector
Set 3	1.141424341	Vector
Set 3	0.917904914	Vector
Set 3	0.836819632	Vector
Set 3	1.730432889	Vector
Set 3	0.89091861	Vector
Set 3	1.027553618	Vector
Set 3	0.99922417	Vector
Set 3	0.657022282	Vector
Set 3	0.973000672	Vector
Set 3	1.680328027	Vector
Set 3	1.65969802	Vector
Set 3	1.394318927	Vector
Set 3	1.349531643	Vector
Set 3	1.222964511	Vector
Set 3	1.078378981	Vector
Set 3	1.212810549	Vector
Set 3	1.15934654	Vector
Set 3	0.983814067	Vector
Set 3	1.068660225	Vector
Set 3	1.546163726	Vector
Set 3	1.175350959	Vector
Set 3	1.392997856	Vector
Set 3	1.030705647	Vector
Set 3	0.753482718	Vector
Set 3	0.602019782	Vector
Set 3	0.597909968	Vector
Set 3	0.837033925	Vector
Set 3	0.864250709	Vector
Set 3	0.695701959	Vector
Set 3	0.652442312	Vector
