Dose	treatment	Distance (mm)
0	Control	0.015
0	Control	0.019
0	Control	0.018
0	Control	0.015
0	Control	0.010
0	Control	0.015
0	Control	0.021
0	Control	0.022
0	Control	0.010
0	Control	0.013
0	Control	0.010
0	Control	0.010
0	Control	0.008
0	Control	0.009
5	Whamm	0.026
5	Whamm	0.075
5	Whamm	0.074
5	Whamm	0.070
5	Whamm	0.080
5	Whamm	0.077
5	Whamm	0.117
5	Whamm	0.082
5	Whamm	0.067
5	Whamm	0.105
5	Whamm	0.061
5	Whamm	0.025
5	Whamm	0.093
5	Whamm	0.095
5	Whamm	0.030
10	Whamm	0.144
10	Whamm	0.495
10	Whamm	0.267
10	Whamm	0.398
10	Whamm	0.303
10	Whamm	0.425
10	Whamm	0.265
10	Whamm	0.173
10	Whamm	0.454
10	Whamm	0.120
10	Whamm	0.300
10	Whamm	0.204
