cohort	connection
MM	617
MM	697
MM	603
MM	534
MM	662
MM	681
MM	666
MM	739
MM	677
MM	654
MM	613
MM	566
MM	622
MM	685
MM	689
MM	689
MM	627
MM	679
MM	664
MM	603
MM	661
MM	570
MM	668
MM	707
MM	554
MM	718
MM	608
MM	678
MM	706
MM	668
MM	645
MM	700
MM	535
MM	664
MM	574
MM	773
MM	577
MM	638
MM	682
MM	572
MM	683
MM	661
MM	714
MM	639
MM	763
MM	561
MM	627
MM	675
MM	590
MM	573
MM	774
MM	709
MM	660
MM	672
MM	635
MM	572
MM	736
MM	584
MM	614
MM	584
MM	631
MM	606
MM	731
MM	702
MM	619
MM	575
MM	627
MM	700
MM	639
MM	656
MM	581
MM	748
MM	538
MM	630
MM	678
MM	715
MM	684
MM	566
MM	580
MM	710
MM	689
MM	578
MM	620
MM	533
MM	684
MM	598
MM	568
MM	652
MM	582
MM	625
MM	587
MM	658
MM	576
MM	680
MM	562
MM	593
MM	580
MM	610
MM	658
MM	617
MM	668
MM	564
MM	680
MM	665
MM	708
MM	709
MM	601
MM	639
MM	690
MM	658
MM	681
MM	607
MM	587
MM	709
MM	715
MM	719
MM	595
MM	698
MM	658
MM	621
MM	566
MM	660
MM	564
MM	568
MM	556
MM	613
MM	565
MM	654
MM	635
MM	610
MM	630
MM	721
MM	583
MM	682
MM	744
MM	702
MM	612
MM	649
MM	516
MM	520
MM	512
MM	625
MM	631
MM	705
MM	673
MM	704
MM	549
MM	639
MM	754
MM	628
MM	545
MM	624
MM	786
MM	736
MM	638
MM	664
MM	715
MM	635
MM	688
MM	568
MM	668
MM	700
MM	568
MM	639
MM	774
MM	645
MM	701
MM	512
MM	688
MM	661
MM	533
MM	660
MM	661
MM	702
MM	589
MM	748
MM	588
MM	749
MM	688
MM	577
MM	589
MM	507
MM	709
MM	640
MM	705
MM	761
MM	690
MM	680
MM	613
MM	618
MM	630
MM	714
MM	581
MM	678
MM	672
MM	629
MM	714
MM	684
MM	664
MM	643
MM	668
MM	766
MM	669
MM	744
MM	634
MM	669
MM	599
MM	653
MM	736
MM	553
MM	639
MM	649
MM	563
MM	627
MM	789
MM	708
MM	735
MM	690
MM	555
MM	546
MM	756
MM	751
MM	655
MM	615
MM	611
MM	527
MM	733
MM	679
MM	668
MM	569
MM	610
MM	632
MM	696
MM	582
MM	684
MM	859
MM	732
MM	564
MM	704
MM	605
MM	508
MM	699
MM	574
MM	514
MM	634
MM	660
MM	639
MM	541
MM	622
MM	645
MM	613
MM	715
MM	610
MM	548
MM	668
MM	626
MM	608
MM	577
MM	676
MM	601
MM	539
MM	605
MM	656
MM	614
MM	590
MM	641
MM	619
MM	665
MM	645
MM	588
MM	626
MM	530
MM	544
MM	670
MM	639
MM	604
MM	566
MM	645
MM	516
MM	698
MM	544
MM	686
MM	583
MM	539
MM	691
MM	653
MM	657
MM	717
MM	704
MM	591
MM	630
MM	520
MM	723
MM	682
MM	625
MM	521
MM	671
MM	629
MM	557
MM	696
MM	522
MM	619
MM	622
MM	580
MM	570
MM	596
MM	573
MM	612
MM	541
MM	627
MM	633
MM	668
MM	656
MM	709
MM	769
MM	676
MM	620
MM	761
MM	526
MM	621
MM	632
MM	609
MM	738
MM	565
MM	580
MM	666
MM	573
MM	472
MM	667
MM	616
MM	663
MM	628
MM	670
MM	705
MM	652
MM	612
MM	738
MM	645
MM	629
MM	656
MM	824
MM	505
MM	696
MM	713
MM	610
MM	678
MM	642
MM	624
MM	633
MM	624
MM	616
MM	707
MM	571
MM	538
MM	546
MM	777
MM	705
MM	656
MM	619
MM	598
MM	735
MM	607
MM	543
MM	603
MM	646
MM	605
MM	520
MM	614
MM	647
MM	526
MM	572
MM	685
MM	695
MM	582
MM	757
MM	659
MM	721
MM	610
MM	723
MM	607
MM	605
MM	631
MM	542
MM	564
MM	745
MM	734
MM	528
MM	587
MM	681
MM	623
MM	602
MM	621
MM	614
MM	623
MM	678
MM	622
MM	595
MM	592
MM	680
MM	600
MM	614
MM	732
MM	696
MM	566
MM	603
MM	612
MM	627
MM	712
MM	548
MM	623
MM	641
MM	596
MM	607
MM	541
MM	662
MM	546
MM	661
MM	580
MM	646
MM	727
MM	647
MM	548
MM	593
MM	605
MM	665
MM	611
MM	638
MM	558
MM	730
MM	641
MM	646
MM	641
MM	592
MM	625
MM	585
MM	554
MM	712
MM	661
MM	676
MM	759
MM	694
MM	555
MM	637
MM	620
MM	610
MM	556
MM	723
MM	594
MM	615
MM	602
MM	598
MM	581
MM	718
MM	536
MM	659
MM	745
MM	680
MM	580
MM	739
MM	612
MM	650
MM	692
MM	707
MM	658
MM	657
MM	609
MM	658
MM	645
MM	606
MM	650
MM	684
MM	660
MM	635
MM	660
MM	587
MM	714
MM	679
MM	703
MM	829
MM	612
MM	619
MM	636
MM	643
MM	660
MM	676
MM	516
MM	626
MM	590
MM	760
MM	652
MM	781
MM	714
MM	630
MM	585
MM	632
MM	532
MM	547
MM	687
MM	642
MM	658
MM	542
MM	612
MM	624
MM	632
MM	626
MM	549
MM	590
MM	666
MM	620
MM	745
MM	667
MM	531
MM	563
MM	637
MM	645
MM	604
MM	655
MM	554
MM	815
MM	528
MM	607
MM	596
MM	609
MM	639
MM	675
MM	551
MM	663
MM	582
MM	682
MM	744
MM	626
MM	567
MM	533
MM	619
MM	656
MM	685
MM	559
MM	612
MM	662
MM	670
MM	818
MM	678
MM	836
MM	650
MM	722
MM	551
MM	518
MM	624
MM	593
MM	563
MM	633
MM	729
MM	621
MM	643
MM	581
MM	690
MM	631
MM	758
MM	685
MM	657
MM	655
MM	561
MM	519
MM	589
MM	587
MM	641
MM	725
MM	641
MM	641
MM	733
MM	801
MM	589
MM	602
MM	670
MM	595
MM	616
MM	513
MM	603
MM	538
MM	701
MM	613
MM	680
MM	621
MM	586
MM	578
MM	717
MM	579
MM	508
MM	630
MM	584
MM	609
MM	658
MM	839
MM	734
MM	626
MM	741
MM	571
MM	648
MM	752
MM	595
MM	621
MM	734
MM	558
MM	734
MM	669
MM	684
MM	572
MM	686
MM	616
MM	656
MM	734
MM	618
MM	616
MM	647
MM	648
MM	648
MM	553
MM	716
MM	796
MM	669
MM	599
MM	658
MM	620
MM	667
MM	605
MM	835
MM	621
MM	719
MM	723
MM	710
MM	584
MM	710
MM	628
MM	733
MM	681
MM	666
MM	753
MM	681
MM	574
MM	550
MM	675
MM	667
MM	624
MM	653
MM	571
MM	663
MM	653
MM	569
MM	665
MM	597
MM	770
MM	608
MM	650
MM	555
MM	665
MM	462
MM	639
MM	690
MM	697
MM	663
MM	604
MM	475
MM	686
MM	661
MM	521
MM	638
MM	556
MM	626
MM	716
MM	652
MM	673
MM	597
MM	704
MM	715
MM	617
MM	589
MM	570
MM	821
MM	699
MM	642
MM	607
MM	672
MM	565
MM	557
MM	623
MM	644
MM	545
MM	606
MM	585
MM	703
MM	640
MM	654
MM	691
MM	568
MM	597
MM	649
MM	742
MM	665
MM	597
MM	632
MM	710
MM	716
MM	647
MM	527
MM	624
MM	702
MM	638
MM	659
MM	686
MM	568
MM	560
MM	616
MM	835
MM	595
MM	687
MM	522
MM	528
MM	571
MM	790
MM	626
MM	795
MM	630
MM	634
MM	731
MM	553
MM	635
MM	677
MM	554
MM	654
MM	701
MM	621
MM	622
MM	688
MM	709
MM	574
MM	584
MM	639
MM	862
MM	675
MM	710
MM	586
MM	570
MM	637
MM	721
MM	706
MM	724
MM	608
MM	734
MM	708
MM	726
MM	603
MM	838
MM	496
MM	694
MM	687
MM	635
MM	566
MM	670
MM	616
MM	557
MM	503
MM	522
MM	562
MM	506
MM	589
MM	739
MM	578
MM	551
MM	589
MM	566
MM	615
MM	674
MM	613
MM	682
MM	634
MM	615
MM	656
MM	699
MM	738
MM	619
MM	798
MM	665
MM	621
MM	689
MM	605
MM	761
MM	547
MM	657
MM	684
MM	618
MM	594
MM	580
MM	490
MM	539
MM	786
MM	698
MM	733
MM	570
MM	638
MM	576
MM	660
MM	546
MM	598
MM	610
MM	691
MM	752
MM	476
MM	627
MM	754
MM	627
MM	518
MM	583
MM	615
MM	631
MM	606
MM	589
MM	675
MM	696
MM	654
MM	703
MM	717
MM	694
MM	577
MM	668
MM	586
MM	648
MM	664
MM	621
MM	624
MM	778
MM	530
MM	593
MM	731
MM	562
MM	698
MM	598
MM	608
MM	733
MM	630
MM	626
MM	634
MM	645
MM	629
MM	620
MM	619
MM	605
MM	629
MM	753
MM	620
MM	557
MM	724
MM	656
MM	576
MM	633
MM	738
MM	749
MM	605
MM	590
MM	631
MM	657
MM	604
MM	600
MM	583
MM	708
MM	638
MM	708
MM	594
MM	706
MM	540
MM	614
MM	632
MM	738
MM	561
MM	646
MM	546
MM	679
MM	618
MM	619
MM	553
MM	568
MM	659
MM	653
MM	630
MM	756
MM	679
MM	572
MM	661
MM	704
MM	627
MM	781
MM	608
MM	702
MM	748
MM	597
MM	686
MM	650
MM	556
MM	653
MM	690
MM	584
